Comente,Comente_limpo,Tokens_lematizados,Tokens_lematizados_sem_stopwords,Comente_processado_spacy,texto_final_en
"Ser for uma indireta nubank, pode tirar o cavalinho da chuva kkk",ser for uma indireta nubank pode tirar o cavalinho da chuva kkk,"['ser', 'ir', 'um', 'indireta', 'nubank', 'poder', 'tirar', 'o', 'cavalinho', 'de o', 'chuva', 'kkk']","['ir', 'indireta', 'nubank', 'poder', 'tirar', 'cavalinho', 'de o', 'chuva', 'kkk']",ir indireta nubank poder tirar cavalinho de o chuva kkk,IR INDIRECT NUBANK BEING KNOWN KKK KKK
@rafael_ghidelli real kkkkk,rafaelghidelli real kkkkk,"['rafaelghidelli', 'Real', 'kkkkk']","['rafaelghidelli', 'Real', 'kkkkk']",rafaelghidelli Real kkkkk,RAFAELGELIDELLI REAL KKKKK
"O atendimento chat da Nubank é inútil.  Apenas dizem que as opções são as do app. Gerência só em banco com sede física, o resto é enrolação e caça níquel.",o atendimento chat da nubank é inútil apenas dizem que as opções são as do app gerência só em banco com sede física o resto é enrolação e caça níquel,"['o', 'atendimento', 'chat', 'de o', 'nubank', 'ser', 'inútil', 'apenas', 'dizer', 'que', 'o', 'opção', 'ser', 'o', 'de o', 'app', 'gerênciar', 'só', 'em', 'banco', 'com', 'sede', 'físico', 'o', 'resto', 'ser', 'enrolação', 'e', 'caça', 'níquel']","['atendimento', 'chat', 'de o', 'nubank', 'inútil', 'apenas', 'dizer', 'opção', 'de o', 'app', 'gerênciar', 'banco', 'sede', 'físico', 'resto', 'enrolação', 'caça', 'níquel']",atendimento chat de o nubank inútil apenas dizer opção de o app gerênciar banco sede físico resto enrolação caça níquel,Nubank chat service useless just say the option of the app management Bank Physical Headquarters Restine
Ativar pra proteger meus 50 reais de limite 🤣,ativar pra proteger meus reais de limite,"['ativar', 'pra', 'proteger', 'meu', 'real', 'de', 'limite']","['ativar', 'pra', 'proteger', 'real', 'limite']",ativar pra proteger real limite,Activate to protect real limit
O cara tem teletranaporte. Esta no futuro e ainda usa fone de ouvido com fio? E microfone? Kkkk,o cara tem teletranaporte esta no futuro e ainda usa fone de ouvido com fio e microfone kkkk,"['o', 'cara', 'ter', 'teletranaporte', 'este', 'em o', 'futuro', 'e', 'ainda', 'usar', 'fone', 'de', 'ouvir', 'com', 'fio', 'e', 'microfone', 'kkkk']","['cara', 'ter', 'teletranaporte', 'em o', 'futuro', 'ainda', 'usar', 'fone', 'ouvir', 'fio', 'microfone', 'kkkk']",cara ter teletranaporte em o futuro ainda usar fone ouvir fio microfone kkkk,dude have teletranaporte in the future still use headset listen to wire microphone kkkk
@funakialexandre concordo com vc!,funakialexandre concordo com vc,"['funakialexandre', 'concordo', 'com', 'vc']","['funakialexandre', 'concordo', 'vc']",funakialexandre concordo vc,FUNAKIALEXANDRE I AGREE VC
@nubank mentira. Vocês querem seus clientes superendividados. Tentei renegociação antes do vencimento e disseram que as únicas opções são as disponíveis no app.,nubank mentira vocês querem seus clientes superendividados tentei renegociação antes do vencimento e disseram que as únicas opções são as disponíveis no app,"['nubankr', 'mentira', 'você', 'querer', 'seu', 'cliente', 'superendividados', 'tentar', 'renegociação', 'antes', 'de o', 'vencimento', 'e', 'dizer', 'que', 'o', 'único', 'opção', 'ser', 'o', 'disponível', 'em o', 'app']","['nubankr', 'mentira', 'querer', 'cliente', 'superendividados', 'tentar', 'renegociação', 'antes', 'de o', 'vencimento', 'dizer', 'único', 'opção', 'disponível', 'em o', 'app']",nubankr mentira querer cliente superendividados tentar renegociação antes de o vencimento dizer único opção disponível em o app,Nubankr Lie wanting client over -indebted to try to renegotiate before the salary says the only option available in the app
Atendimento via chat péssimo!,atendimento via chat péssimo,"['atendimento', 'ver', 'chat', 'péssimo']","['atendimento', 'ver', 'chat', 'péssimo']",atendimento ver chat péssimo,service see bad chat
☯️,,[],[],,
Aí sim,aí sim,"['aí', 'sim']","['aí', 'sim']",aí sim,then yes
@aniellefeldmann bota um óculos aí minha filha,aniellefeldmann bota um óculos aí minha filha,"['aniellefeldmann', 'botar', 'um', 'óculos', 'aí', 'meu', 'filha']","['aniellefeldmann', 'botar', 'óculos', 'aí', 'filha']",aniellefeldmann botar óculos aí filha,Aniellefeldmann put glasses there daughter
Que top 👏🏼👏🏼👏🏼,que top,"['que', 'top']",['top'],top,top
@studiosmonteiro 😂😂,studiosmonteiro,['studiosmonteiro'],['studiosmonteiro'],studiosmonteiro,studiosmonteiro
"Até aqui @nubank foi comigo, espero que continue sendo... Só acho que deveriam dar mais crédito aos clientes, invés de famosos...dar oprtunide",até aqui nubank foi comigo espero que continue sendo só acho que deveriam dar mais crédito aos clientes invés de famososdar oprtunide,"['até', 'aqui', 'nubankr', 'ser', 'comigo', 'esperar', 'que', 'continuar', 'ser', 'só', 'achar', 'que', 'dever', 'dar', 'mais', 'crédito', 'a o', 'cliente', 'invés', 'de', 'famososdar', 'oprtunide']","['aqui', 'nubankr', 'comigo', 'esperar', 'continuar', 'achar', 'dever', 'dar', 'crédito', 'a o', 'cliente', 'invés', 'famososdar', 'oprtunide']",aqui nubankr comigo esperar continuar achar dever dar crédito a o cliente invés famososdar oprtunide,Here Nubankr with me expects to continue to find credit to the customer instead famous to opportunide
"@renata_sbotelho da oportunidade as pessoas que pagam em dia, movimentam suas contas... Povão mesmo sabe a galera que abraçou vcs @nubank",renatasbotelho da oportunidade as pessoas que pagam em dia movimentam suas contas povão mesmo sabe a galera que abraçou vcs nubank,"['renatasbotelho', 'de o', 'oportunidade', 'o', 'pessoa', 'que', 'pagar', 'em', 'dia', 'movimentar', 'seu', 'conta', 'povão', 'mesmo', 'saber', 'o', 'galera', 'que', 'abraçar', 'vcs', 'nubank']","['renatasbotelho', 'de o', 'oportunidade', 'pessoa', 'pagar', 'dia', 'movimentar', 'conta', 'povão', 'saber', 'galera', 'abraçar', 'vcs', 'nubank']",renatasbotelho de o oportunidade pessoa pagar dia movimentar conta povão saber galera abraçar vcs nubank,renatasbotelho of the opportunity person pay day move account people know guys hug you nubank
Vou fazer isso 🤣,vou fazer isso,"['ir', 'fazer', 'isso']","['ir', 'fazer']",ir fazer,go
Por um momento parecia o Dinho dos mamonas,por um momento parecia o dinho dos mamonas,"['por', 'um', 'momento', 'parecer', 'o', 'dinho', 'de o', 'mamona']","['momento', 'parecer', 'dinho', 'de o', 'mamona']",momento parecer dinho de o mamona,Moment looks like the castor
😍iiii876799,iiii,['iiii'],['iiii'],iiii,iiii
Usem camisinha,usem camisinha,"['usar', 'camisinha']","['usar', 'camisinha']",usar camisinha,condom
Achei que era o Luan santana,achei que era o luan santana,"['achar', 'que', 'ser', 'o', 'luan', 'santano']","['achar', 'luan', 'santano']",achar luan santano,achar luan santano
Kkk,kkk,['kkk'],['kkk'],kkk,kkk
Achei que era o gabiru..kkkk ex jogador do inter..kkk,achei que era o gabirukkkk ex jogador do interkkk,"['achar', 'que', 'ser', 'o', 'gabirukkkk', 'ex', 'jogador', 'de o', 'interkkk']","['achar', 'gabirukkkk', 'ex', 'jogador', 'de o', 'interkkk']",achar gabirukkkk ex jogador de o interkkk,The celebration of the celebration of the silver
Kkkkkkk,kkkkkkk,['kkkkkkk'],['kkkkkkk'],kkkkkkk,kkkkkkk
@setimos_x tu deixa todo o teu patrimônio em cripto? Coragem,setimosx tu deixa todo o teu patrimônio em cripto coragem,"['setimosx', 'tu', 'deixar', 'todo', 'o', 'teu', 'patrimônio', 'em', 'cripto', 'coragem']","['setimosx', 'deixar', 'todo', 'patrimônio', 'cripto', 'coragem']",setimosx deixar todo patrimônio cripto coragem,Setimosx leave all heritage cry.
...,,[],[],,
.,,[],[],,
😏,,[],[],,
A proteção 🪛✂️🔪,a proteção,"['o', 'proteção']",['proteção'],proteção,protection
"@rayssa._.alvees até porque, após o carnaval, a vida continua e você vai precisar comprar sua fatia de um pão francês 😌🙏🏽",rayssaalvees até porque após o carnaval a vida continua e você vai precisar comprar sua fatia de um pão francês,"['rayssaalvees', 'até', 'porque', 'após', 'o', 'carnaval', 'o', 'vida', 'continuar', 'e', 'você', 'ir', 'precisar', 'comprar', 'seu', 'fatia', 'de', 'um', 'pão', 'francês']","['rayssaalvees', 'porque', 'após', 'carnaval', 'vida', 'continuar', 'ir', 'precisar', 'comprar', 'fatia', 'pão', 'francês']",rayssaalvees porque após carnaval vida continuar ir precisar comprar fatia pão francês,Rayssaalvees because after carnival life keeps going to buy slice French bread
"@r___rts somente bitcoin em auto custódia. Não só eu faço isso, mais muitos libertários, é melhor do guarda em real, e ser sodomizado pela inflação.",rrts somente bitcoin em auto custódia não só eu faço isso mais muitos libertários é melhor do guarda em real e ser sodomizado pela inflação,"['rrt', 'somente', 'bitcoin', 'em', 'auto', 'custódio', 'não', 'só', 'eu', 'fazer', 'isso', 'mais', 'muito', 'libertário', 'ser', 'bom', 'de o', 'guarda', 'em', 'real', 'e', 'ser', 'sodomizar', 'por o', 'inflação']","['rrt', 'somente', 'bitcoin', 'auto', 'custódio', 'fazer', 'libertário', 'bom', 'de o', 'guarda', 'real', 'sodomizar', 'por o', 'inflação']",rrt somente bitcoin auto custódio fazer libertário bom de o guarda real sodomizar por o inflação,RRT Only Bitcoin Auto Custódio Make good libertarian of the Real Guard Sodomize for Inflation
"Tomara que o ladrão quite meu empréstimo, e pague minha fatura kkkkkk",tomara que o ladrão quite meu empréstimo e pague minha fatura kkkkkk,"['tomar', 'que', 'o', 'ladrão', 'quitir', 'meu', 'empréstimo', 'e', 'paguir', 'meu', 'fatura', 'kkkkkk']","['tomar', 'ladrão', 'quitir', 'empréstimo', 'paguir', 'fatura', 'kkkkkk']",tomar ladrão quitir empréstimo paguir fatura kkkkkk,Take Thief Lay Pagure Invoice Kkkkkk
"Eu sei um modo mais eficaz.
Ficar em casa, sem cachaça, sem música escrota",eu sei um modo mais eficaz ficar em casa sem cachaça sem música escrota,"['eu', 'saber', 'um', 'modo', 'mais', 'eficaz', 'ficar', 'em', 'casa', 'sem', 'cachaça', 'sem', 'música', 'escroto']","['saber', 'modo', 'eficaz', 'ficar', 'casa', 'cachaça', 'música', 'escroto']",saber modo eficaz ficar casa cachaça música escroto,Knowing Effective Way Staying Cachaça Scrotum Music
